id;title;type;identification;active
1;Central;SmartCossiol;applications visualize;false
2;Markets Wooden;SmartCossiol;cross-platform;false
3;Representative program;SmartCossiol;Small Wooden Computer grey Gibraltar Pound;true
4;invoice;SmartCossiol;hack;false
5;Group evolve Facilitator;SmartCossiol;generating web-readiness protocol;true
6;back-end;SmartCossiol;Berkshire bus Generic Frozen Computer;false
7;Chair parse Soft;SmartCossiol;PCI dynamic;false
8;Checking Account;SmartCossiol;mint green Ergonomic;true
9;Throughway Granite Lead;SmartCossiol;input Moroccan Dirham Soft;false
10;Awesome Keyboard Response;SmartCossiol;orchestration;true
